label,review
0,it a moslem terrorist tactic attack the women then attack the men when they come to help like when a first explosion will cause casualties a secondary explosion will cause more casualties the medical responders and onlookers stay safe always help carry and conceal
1,well when i was in the air force they thought i was a dyke plumber bitch so there ya go opinions are like assholes
0,that his sister sheboon friend melissa is apparently dating some blonde dude
1,i raped a sheep because it sneezed at a pig
1,someone took my fucking dyke pin i am going to kill
0,lol get a load of this kike
0,pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performances
0,bernardo is just a white honky
0,the chink salivates as the salamander cries out in extinction
0,you need potassium eat a banana you fucking nigger
1,also in this same vibe any wigger who calls white missionaries who save the lives of non white children in africa india ect a race traitor is an actual h0m0
1,so none of you all hoes want to get that waist snatched hurd it
0,honestly man most of you guys are nigger faggots
1,old dude just opened the sauna door stared in here for <number> seconds and walked away close the door faggot
0,ah shit i forgot a sheboon stole an idea from a white person and made god a black woman how completely fulfilling of the stereotype that they can not come up with anything on their own and steal everything
0,make the word nigger great again make racial slurs great again my dad told us bedtime stories w bad guys jip the jap jigaboo jones his mom my german grandmother w german accent always called blacks darkies jews jewish shysters pc terminology is part of the brainwashing
1,what a pakis favorite clothing brand jihadidas
0,do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker
1,amber guyer this shot a man in his own place bitch got what she deserved justice for botham jean
0,a negress too dumb to fuck has a scant chance of understanding anything beyond the size of a dick
1,told dat bitch get right or get left
0,fuck what this kike cunt has to say only thing she is good for is sticking a cock down her throat so she can not talk
0,why are we having all these people from shithole countries coming here
0,the only rationale i can see for trump not firing prosecuting rosenstein is that now that little kike is in his pocket bad idea
0,people are getting pissed about the evil muzrat cult and gov t complicity
1,angry bald dyke
0,if you really want to jack up the gay msm cognitive dissonance we need to see more dindu on homo violence episodes drop leaflets on chicago splaining that gays are fond of carrying fat rolls of cash one day the media queers will all wake up in a log cabin with questions
0,lets see what they will do to the smelly kike who composed that tweet and whose name is visible in the photo the world awaits his lynching with relish
0,i have found another degenerate who is pushing smut on gab not a joke he is actually promoting smut and porn is a degenerate diversity kike hiding behind patriotism i am not so easily fooled
1,nice burner account nobody names their kid edwina unless they are georgia trailer trash
1,un*merce <censored> is just another white bitch trying to look as black as possible
1,like brazil many are descendants of west africa social constructs labels classifications have ruined a many people who falsely self identify as white or just do not even know abt their native land all b c of them bum ass caucazoids aka caucasians
1,fuck you all hoes
0,this is the year you all get r kelly the fidduck out of here sick of that nigger
0,i love your pro white jack o lantern fuck that nigger and fuck the national african american communist party founded and run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist
0,you niggers blow my mind
0,the nigger is a true snake charmer
1,love the idea that feminism has corrupted women into hating the thought of being a housewife when like half the dykes i know can not shut up about one day living on a farm with their gf
1,look fuck you fuck the plane you flew in on fuck them shoes fuck those socks with the belt on it fuck yo gay ass fairy faggot accent
1,i d rather get fisted by a nigger tbh
1,<money> says the kid was a beaner and another <money> says the driver was a beaner too
1,twitter is full of tween dykes who think they are superior to everyone because of muh oppression news flash no one gives a shit
1,i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees
1,remember how quiet every other pres has been after they left the use obongo because he is a nigger and they think white guilt will work obey obey you were taught in in schools gov and all media obey
1,lowlife msm trying to link the guy who rammed a van into moslems in nrth londonistan to tommy robinson britain first well if it linking to anti moslem patriots with brains then about <percent> of uk are there
1,what the hell is it with shitty gab trolls and calling people monkeys maybe that kike freud was right
1,thinks spic is mexican thinks they are right thinks they are smart
1,kick that raghead out of america
0,nice idea but i doubt it as my jewish gf back in hs used to say a jew is just a nigger turned inside out neither can ever be satisfied if you give a jew your teeth he will want your eyes too
0,you guys in germany and us men here in america too we are gonna have to man up and be crusaders this musloid bullshit is totally unacceptable
1,the queers and lezzies are overstepping their boundary which ends at the closet threshold
0,the nigger problem
1,wonder which nigger i bullycided was giving you the dick lol now i have to deal with widows great
1,rapture theology tightly interwoven with ideas about the rebirth of israel has inoculated nearly every non mainline protestant denomination against anti semitism meanwhile the mainlines have been infiltrated and are currently obsessed with muzzies and trannies xianity has collapsed
1,joy reid the token nigger used by msnbc to stupid to realize it
1,france problems are not going to fix themselves and this attack was just the tip of the iceberg uncontrolled immigration has been an ongoing issue in france for over a decade the only longstanding solution would be to deport every last moslem back to their home countries mega
1,aw i was hoping it was the owner of salon not some chink you owns a salon <sad>
1,they switch up like faggots
1,your muzrat gov t will never allow brexit
0,so <number> communist nigger journalist <number> windstorm but trump has caused this terrible wave of hate apparently almighty trump controls both the weather bernie supporters
1,fakebook just suspended me <number> days for insulting rosie odonnell for calling trump mentally insane it was worth the <number> days you are still a man hating fat dyke rosie lol
0,excuse me but those are not people those are niggers buffalo nostril shitskin burrheaded knuckle runnin spear chucking welfare monkey spaboolie spook coon moolie niggers niggers make me fucking sick
0,i see you are friends with the nigger cyph who gives a fuck what you think muted dude
0,this ugly kike cunt keeps showing up on my timeline
0,ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol
0,<percent> of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent <number> iq nigger diversity hire cops
0,yes but queers are too self righteous to let them be included originally the gay and pedophile communities were working together nambla was started by gay men who liked boys now all subsets of pedophiles are members assuming nambla still exists
0,the muzrat trash call everyone a racist
1,catholic church since preacher frankie took over a catholic church cemetery in italy where a nativity scene had been displayed every christmas for decades the preacher decided that it will not be displayed because it might hurt some muzzie feelings a top commandment of the gospel is to witness
0,dad should have told the muzrat whore to fuck off and went in anyway
0,ali became a mudslime to avoid the draft ask his offspring on twatter a few times if daddy ensured her genitals were mutilated in accordance with mudslime law and why no burqua was worn but received no answer
0,fanbloodytastic by time these leeches are held to account especially the muzzie scum taking <number> wives breeding kids like rabbits in order to increase welfare payments potus ur simply the best
1,bex bailey raped at <number> yrs of age <number> yr old girl in rotherham raped by <number> paki muslims all labour voters in labour held councils and labour protected the rapists liz kendall mp and all mps disgusts me to my core and they all need destroying
1,she did not dyke her haircut did she dat bod tho
0,i probably should have put nsfw on that also not safe for home actually not safe for normal white people how a sheboon manages to lose all her clothes during a fight is a mystery that i am not going to watch again to solve <happy>
1,hillary to degenerate one dyke to another
0,we need to change the priority of the refugee program we will take all white south afrikans pariotic britains frenchies germies swedes etc persecuted christians let the invaders finish their countries full of muzzrats liberals off
0,when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot
0,q what do a nigger and a medium domino pizza have in common a they both can not feed a family of <number>
0,good riddance to bad nigger garbage
0,and all this butthurt faggotry just makes me want to join twp to spite you queers
0,saint sir adolf was the most lied about person in history for financial political and kike reasons alt right history lesson
0,white nationalist can you picture a world where your town is white your schools are white your world is white i have a dream that one day i can live in a white world where little whites kids play with other white kids and the nigger is back in africa
0,it really october and my car was <number> degrees when i got in it after work i fucking hate you boomers u ruined this planet and robbed us of our fall die off already fuck
0,coming from a rag head no less
0,silver medicine in my pants skrt this nigger ass clap
1,in all seriousness there a probability of moslem men attending the million woman march and sexually assaulting them i hope i am wrong
0,whitey prevails for a change miss south africa beats out a nig two spics and a gook to win miss u
1,his ancestors are rolling in their graves a negress had been added to the royal line therefore ending it royal wedding heritage uk
0,is luke ford on a mission to infiltrate the altright to prove his kike conversion bona fides
0,better to kill the kike first
0,we work several days out of your year to support the illegals kids and nigger babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions
1,bill clinton is an evil creature um maybe slick is a mussie rapist all this time
0,i could not quit laughing at it yesterday white cucks out in their bass boats risking their lives to save the niggers and mexicans seriously fuck those cucks fuck the brown people and fuck all the non texans who have moved in there oh and fuck the nigger mayor
0,i am offended because nigger faggot kike spic chink gook cracker
0,meet the british nigger bitch princess criminal trash family
0,just saw on here that he used to go by the name of joker on twitter if so then i am pretty sure i have come across this paki creature in passing before my ban hes not very popular on there is he
0,i guess the nigger wasn t around to pez her so she wised up and jumped
0,this what happens when little adam is way smarter than his fat dyke lib teacher
0,niggerchomp isnt a chink she a white american dog
0,sacrifices must be made i agree screw that newport smoking fatass mudshark and her ugly mama too
0,lets hope so gas the lot including the nigger
0,biggest unforced cultural error of the last few years couple of ugly dykes suing christian bakery for refusing to make them a gay wedding cake any potential wedge between trump and the religious right was healed then and there nice work ladies trumpslide meme war maga
1,the libtard setback for the moslem refugee ban just tells trump what needs to be corrected and who fucking things up for the american people when scalia replacement is named it back to the ban
0,all right faggots why is it that our posts bantzing beaners get so much engagement but when we take the piss out niggers and kikes you all get so silent all of a sudden
0,notice the towelhead music in the background
0,lol no one is supporting bhikharistan except pro muslim countries like turkey malaysia no one gives a fuck about porkistan
1,suck out you faggot
1,a retard being questioned by good cop and his sidekick bad cop
1,that redneck stuff damn hillbilly ppl
0,shalom aussie goyim my name is gladys berejiklian i call myself an armenian but in fact i am a ratfaced kike looking to implement communism in your country do you like my gallah beak
0,the first white president since were going into skin color now obama was the first nigger president lets return to the good old times
0,there was no islamic holy violence prior to <number> retard slav nigger
0,depeche kike personal hitler remastered video
0,sadiq khan london moslem mayor warns tory police cuts means future terror attacks more likely it is not police cuts that make terror attacks more likely it is the moslems in the uk who make terrorist attacks more likely
0,if you zoom in real close to the dike with the shaved head you will notice that she has the pupils of a serpent
0,refugees in white homelands are worth more then gold to israel ask trump and any kike truth fears no investigation they are low wage workers which will destroy america labor market but you still vote for this goyim
1,lmao oh ok i ama talking bout a dyke in the line he need to let you text him your picks and bring the bread
0,you are the epitome of stupidity you could not beat the kike vermin alone last time so this time your goal is wait for it to fight the kike vermin alone again and lose again you have the strategic sense hitler did moron
1,exactly why she the way she is the bitch is uncultured filth
0,yes even radical muzzies planning to take over america over <number> are running for office and <number> just in congress i will not support the muslim brotherhood i am not stupid any more than i would vote for socialism screw the dems
1,question is how would it be had the refugee never been in finland to have given birth to a murderer
1,and all the muzzies in the world combined
1,but yeah fuck them white devils
0,watching the rugby game and the entire other team has long hair this feels antithetical to the dyke ethos of it all
0,this yid parasitic bitch should be hanged on the st tall tree that grows in the center of the city to all to see and learn that yids are beasts of the field and not allowed to exist with humans
0,is it gonna be you you said they offered to let you be in playboy in the <number> maybe they are not ready for a kike whose make up makes her look like a neanderthal painted up as a shemale rodeo clown
0,lol at thinks he a dothead kike lol
0,lol at thinks currynigger monkey cow elephant worshipping streetshitters are taking over the world lol currynigger you re just riding the white mans dick thank u come again
0,showa time for this fucking kike
0,ian timings opinions are only those of a nigger cock sucker therefore they are invalid <number> kk
0,you are arguably pretty stupid to not recognize that ecological collapse means no food your chances of survival dramatically decreases this is nigger level shortsightedness right here
1,stunting on all yall hoes that was flexing on me
1,chanelle really my best bitch love her
1,he a jew when it convenient for him and a fellow white person when thats more convenient just like literally every other kike
1,that what my old man did he was one of those assholes that liked to fight lol knowing how to fight may not save you from a gun or nigger pack attack but it let us you go thru school without worrying about being sum1 bitch
0,folks i do not wana be greedy so today i ama start da same program i had on twitter so here it is da first nigger who can retweet dis go win a free cup of shit to eat ok go
1,titty job prolly the most foo shit a bitch could do
0,another nigger lover bites the dust
0,called it hours ago and this kike rat would not reply to my calling him out either part time shit tier jidf making some extra shekels lol they are not sending their best yet
0,i want to punch trudeau then those muslimes
0,the way he sees it is that whites are evil he is at war with whites sall good he rich now nigger rich
0,christians are commanded to come out and be separate muzzies and christians cannot co exist as muzzies just want to kill everybody all the time so somebody has got to go
1,chinaman satanist lee hsien loong biggest cowards criminals keep on chattering audibly in <number> <number> wellington circle singapore he is arranging the biggest racial violence the world has ever seen drug addicts pseudo terrorists might be employed talks of uk citizens now
1,i will never forget how one of my coworkers looked me dead in my face and asked me do you wash your hair just because my hair is in braids does not mean i do not wash it you small dick white bitch
1,you are defending this dumb shit for creating the illusion that i should somehow care because i was raised mormon or that i am a kike because i was born into a mormon family oblige me with that retard level logic and just add to the dumpster fire
0,average white iq <number> average asian iq <number> average african iq <number> nigger they are of inferior stock as they would say in the old days why you would mix with a spic unless this is some kind of pillaging operation is beyond me
1,i am trynna make it a non gay offensive slur lol i only call non gays faggots you a faggot if you got some bitchassness in you feel me
0,sometimes you wanna hit the girl you like up but then you remember so many niggers already doing that then you just be like hell naah
0,instant mute and creeping my tl total kike behavior
0,al iaquinta remember this name this ravioli nigglet is winning this belt
0,gab fam leaky weiner speak freely if you dont think nigger obama will pardon that crooked old lady you are kidding yourself classifiedinfomatters
1,i fucking hate saturday because i work <number> hr emotionally draining shifts helping annoying ass white ppl i hate sundays because my brain melts listening to football coverage being blasted at full volume from <time> to <time>
0,nazi is a kike jew term invented by an inbred schizoid kike rat they were called national socialists <number> gorillion were not gassed but should have been the world would be a much better place
0,while leftie morons suck fascist moslem cock oh the irony of such hypocrites
0,i know they are trying to commit white genocide but is not the f ing jews but the f ing muslimes that want to kill christians and jews and atheists and hindu and budhists or submit them to their psycho cult what part of kill do not you understand
0,i got thrown out of some fancy hotel on hollywood blvd a few minutes ago because i told the valet nigger where he could put his feelings about my attitude all in all a successful evening although i am sure my wife will disagree when she gets home
0,it allowed the anglo hating p.e. trudeau to shove french down the throats of all canadians while qc persecuted the anglos out all while fast tracking moslem migrants from france former colonies in n africa <number> result was the nd gen moslem terror aka the <number> mtl massacre
0,when i was like <number> i used a stick to wipe a wet dog turd on a little toddler nigger girl and we laughed so hard omg
0,of course this muzrat actually looks like a rat is trying to cause trouble the brexit marchers will be blamed for the trouble and then a ban will be put on any future brexit or free tommy marches
0,cant wait to form a rightwingdeathsquad with a few mates and lynch some obnoxious sheboons this black friday
0,you can see the gook genes
1,you surely like to suck on conor balls do not you you fucking faggot
0,god dam these nigger biches ugly ass fuck
0,niggers should suck white dick them faggots
0,<number> and me is a kike company they started to see how the agenda is going
0,city erea and nigger ofcourse
0,khan can suck the shit off the syphilitic dicks of his moslem pedo brothers uk cops can lick up the mess never rotherham rochdale rape jihad sharia creep islamo facism white genocide christiangenocide never islam words
1,subaru actually marketed on xena warrior princess in the because it was a lesbian show and their research showed dykes droves subaru
1,to much same sex semen gulping mohammedans stone queers to death mohammedans throw queers off tall building queers are so ignorant that they want to fly like superman
0,apples and oranges you said you liked a paki and loved a nigger not that you enjoyed watching the show they were on hypocrisy
1,western women use vagina stereo speaker to blast unborn babies with feminist female empowerment musics of negress beyonce hag madonna breasticular katy perries slav expecting mothers enjoy cerebral classical music of tchaikovsky dvork mussorgsky stravinsky free of vaginal intrusion
0,whats with this disgusting mudshark following me
0,last week i ate at a new hipster bbq restaurant and heard the most god awful nigger noise ever blaring from the speakers it turned out to be what apparently passes for country music these days what the fuck happened
0,as a full blown gas the kike nazi otoya yamaguchi is in my top <number> nationalist heroes
0,to hell with your man white devil
0,rich twerkin fuck with big ferrari this nigger
0,fuck her she nothing but a kike that will play which ever side that will get her paid
0,i discovered <number> quarters of whats fucked up about youtube muslimes muslimes everywhere
0,god will not bless the republican party who bans christians including queers is tolerance banning christians is sin cpac is no longer christian
0,the iranian regime has a mosque in my home town thousands of miles from tehran its controlled by the revolutionary guard do not let the persian kike fool you
1,so the major reason that moslem commit murder etc is because that the only way their book says that entry into heaven is guaranteed and they have recently opened it up for women too which previously was forbidden
0,oprah is an affirmative action piece of shit fat ass nigger bitch
1,it will not matter to the great leaders of this country bobama killary want jihad muslimes throught world genocide the plan no job no no food death
0,liberals are votewhoring pukes enabling the moslem invasion since the p.e. trudeau m cult biling policies allowed quebec to fast track immigrants from france former colonies in n africa that how the nd gen moslem terror aka the <number> montreal massacre happened much more since
0,since jews have tried to exterminate white it seems only right that every single jewish girl have a nigger for her first night those who say they are jews and are not but do lie and are the synagogue of satan
1,morning faggots and men sexualsundays letshavesex findom double dd100 cashfagsuk01 kik sessions findom
0,the chimp virgin nigger can not spell australian so he has to ebonics text oz instead
0,chan humour a mexican and a nigger arr in a car who is driving a cop
0,not hard to understand why canadian asians are up in arms over calling moslem pedophiles asian
0,good night family god bless remember every muscum wants us dead but god is our savior this ha all been foretold it just a matter of accepting we are at war yet we sit on screens love ya all again god bless
1,naturalization in early america was limited primarily to those who had been formed by western civilization especially since we had a problem with the muzzies in tripoli our way of life was informed by the universal principles of the declaration
0,president trump should not recieve kike netanyahu either and should not acknowledge israel as a country either and should exterminate all jews as well
1,he loves his daughter more than himself doubt he endangers his grandkids yet yid marries his daughter doubt accidentally yids prepared to stub trump from inside they knew that opposition was preparing him for the last <number> years to overthrow order i think for his daughter he would cave in
1,i had it out with that moon guy hes one of them chan gook lovers
0,<number> <number> salute brother its the the truth and nothing but the truth enjoy and let it develop your brain and use it against your kike government
0,i am surprised twitter did not promote the nigger that did this what made twitter cuck to the right at the last minute the bitches
0,every kike needs to be baptised
0,i really do not wonder what would happen if somebody called jemele hill a nigger on air
0,we need nigger control
1,two things racialists dont all grasp racialism does not stop at the racial border it applies within race too to individuals and other subgroups one can be as naive about government capacity as about nigger capacity
0,<number> week ban wot game chat ban for saying i want to throw your mother in an oven shitskin
0,i am a nigger rabbi who sells bacon
0,she deserved it for race mixing looks like a quadroon tho either way another nigger made good too bad the baby lived
0,boy scouts and girl scouts have really been good for american youth brownies is the girls club before girl scouts or was why mess with success why let the damned queers ruin the land
0,who pussy would be better anne coulter or laura ingrahm both would be good to talk nasty to when i am breeding with them give laura a proper white baby then talk hatred of the nigger with anne coulter
0,this will only get worse in germany there is only one way to solve it germany will have to deploy troops to areas the offenders will have to be shot meanwhile there should be mass deportations to start reducing the moslem population moslems are the problem
0,sorry mate my comment was more so aimed at the self professed kike killer
1,i love it when poor racist white trash elect a president that does nothing but work against them anyoneelse
0,fuck the hell out of new orleans nothing but niggers faggots nigger faggots trannies freaks and more fucking niggers
0,i have never liked netflix netfux so i am cancelling my subscription will buy movies elsewhere and never go to amazon another usa trump hater for streaming videos either putting this nigger cunt on the board and the upcoming male cunt obummer show on netfux has done it for me
1,i fucking hate you now bitch
0,free weev we need another ruby ridge torba is a faggot kike
0,he shows his wetback hating colors see you are a white hater do not worry that muzzie will see the gallows
1,donald trump dolzeal is michael jordan and gays libtards and maga scott adams
1,rick ripping that guys throat out to save carl from getting raped by that old hillbilly top <number> savage twd moments
0,vcu got a bunch of potential blacked stars niggers massive out there
1,ching chong oil
1,did not ching chong swat his friend or something
1,can not relate tho lmao i am not worried ab no tweets idc ab anyone and it twitter just scroll and laugh hoe
0,this fat faggot id such a child grow up porky
0,let masha and the bitches send that one to nigger hebben
0,idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring <number> <number> mildly retarded somali to canada to repopulate canada with the dumbest people on the face of the earth
0,merkel is a moron and an east german communist who loves muzzies more than germans when will the germans kick her fat ass out of office
0,well that the primary reason but it mostly supported by the fact that niggers never keep the same energy all words no action
0,to the gallows with this sand nigger junk foodie faggot
1,a jew did not tell the truth some kike sympathizing cuck shilled and virtue signalled and then a kike reposted it and called it truth
1,ventura only governor to refund overpaid taxes back to those who paid them burqa betsy just fired gay police chief who demanded open investigation against mudslime cop that murdered white christian woman appointed mudslime as new chief burqa betsy will lose gay vote and mayor position
1,racist nigger tariq nasheed was crying about white supremacy working against oj and proved that white supremacy is a myth
1,the detroit lions revoked a season ticket holder tickets because he said nigger on twitter but they insist their players are allowed to express themselves freely so long as that expression is jew approved i gather the nfl hates you
0,your posts show otherwise nigger lover
0,you have only shown that morals do not matter to you how much nigger cock did your boyfriend take tonight
1,every time neocohens and neolibshits bomb a moslem country into holding elections an islamist party inevitably wins the idea that the majority of iranians want anything other than an islamic theocracy is just empirically groundless what we are seeing on iran streets is just a vocal minority
0,shuttener of kike banks
0,toody you liying nigger bitch you took my car
0,you all need to take this nigger activity off my tl
0,white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone
0,kim kardashian is a negress by now anyway
0,nothing regarding any nigger at school or in the work sector is based on merit you fuckers get special treatment all standards are lowered for you what are you writing your thesis on the colonel <number> special herbs and spices
0,welfare is a kike scam to enable niggers like you to sponge off of the system it was pushed upon the country unwillingly and has been causing constant turmoil and misery ever since it should be abolished completely what else have you got for me you jew fellating ignoramus
0,holy shit the ugly kike at the end
0,i give a fuck in that i am happy there one less nigger to take our gibs
1,the british welfare state filthy mudshark uses uk taxpayer money to buy a horse to help her cope with depression after being dumped by one nigger she f***ed <censored> after another and left with <number> mulatto kids to raise them on taxpayers dime
0,non white and kike we are coming for you a white revolution is on its way
0,should be a public hanging using a short drop that way the body jerks in the breeze sends a powerful message to any other nigger who thinks it can put its paws on a white woman
1,california demograph spics <percent> beaner <percent> white <percent> asian <percent> nog <percent> jew california hey at least we are only <percent> nog
1,enjoy being a childless nigger fucker
0,the kike shill psyop ricky vaughn has deleted his post where he stated white identity does not exist so i will post the screen shot here now ask ricky tkr get gassed faggot
0,oo i had no idea it could get even better yes please start talking about this you crazy anti america nigger mother fucks
0,omg go fuck yourself wetback
0,ay yo what my favorite island nigger up to today out walking the dog or letting it get shot by the cops again
0,look how the nigglets are looking at that white child
0,monday kike nigga kike tuesday nigga kike nigga wednesday kike nigga kike thursday nigga kike nigga friday kike nigga kike saturday nigga kike nigga sunday kike nigga kike repeat yawn
0,i did not mention genitalia obviously you are obsessed with nigger dick get help
0,lets fight the kike
1,haha holy fuck just try not to say that guy name in a squeaky hobgoblin yid voice
0,more kike lies could not even find his body yet those cocksmokers tell us they have his fucking dna esad thank nature for the tay sachs
0,they average more in cali with the feeding program but the skunks and coons eat well too
0,gonna get some nasty ass niggers to set fire to this neighborhood
1,get the honky cat
1,whore nfl cheerleaders complain that they do not have as many rights as the nigger players me too
1,if i ever meet that fat nigger oprah im gonna call her a spaboolie
0,dirty kike we have to gas them all just to make sure
0,that sarah press the resident wannabe high brow kikess
0,<number> hours remaining of my <number> day ban on twitter my next move is to completely overwhelm twitter thought police with hate speech allegations for everyone who is a kike and especially the adl
0,ovomits a nigger and a half nigger
1,dykes literally look like this at all times their facial expressions jus do not change
0,everyone wants to be nct everyone the entirety of kpop if they dont wanna be niggers they wanna be nct
1,damn i d eat this girl up but girls be fake gay that the worst
1,you are definitely a stud you just do not have that masculine aggression that dykes have honestly you are giving me major stem vibes you are just too much of a sweetheart to be a dyke oh how i love unsolicited opinions time to kms
0,in my arms by alex g is a faggot anthem
1,shitty raghead
0,fuck you raghead
0,a rag makes her a rag head
0,met police terror attack in london quick lads arrest anyone who gives a moslem a dirty look search twitter for any islamophobic tweets we dont want the lemmings couch potatoes over reacting demanding we actually do something about these moslems
1,good one ricky wait till those diesel dykes get hold of her round little ass
0,and just like you she is a welfare whore with a passel of half breed nigger brats and we all cheer her loss faggot
0,let us blame the nigger
0,hunger games with little niglet babies
0,why do we allow any moslem filth brought here to begin with we have a right as a sovereign nation to disallow anyone we deem unworthy to be an american from coming here
0,we should ship guns to europeans so they can purge the filthy scum that was brought upon their door steps since obamass did not have a problem arming drug cartels and his muzzie buddies
0,trump playing d chess or just being a filthy kike stooge
